"","ind_80","occ_80"
"1",10,488
"2",11,479
"3",10,479
"4",10,473
"5",10,804
"6",10,473
"7",11,479
"8",11,473
"9",11,473
"10",11,479
"11",11,473
"12",11,473
"13",11,473
"14",11,479
"15",11,473
"16",11,473
"17",11,479
"18",11,473
"19",10,479
"20",11,473
"21",11,473
"22",11,473
"23",11,473
"24",11,473
"25",11,473
"26",11,473
"27",11,473
"28",11,473
"29",11,479
"30",11,473
"31",11,473
"32",11,473
"33",11,473
"34",11,473
"35",10,479
"36",10,479
"37",11,479
"38",11,473
"39",10,484
"40",10,479
"41",11,473
"42",11,479
"43",11,475
"44",11,473
"45",10,804
"46",11,477
"47",10,473
"48",550,474
"49",910,424
"50",11,479
"51",11,477
"52",10,259
"53",11,473
"54",10,473
"55",10,479
"56",10,479
"57",10,479
"58",10,475
"59",11,473
"60",11,479
"61",11,473
"62",10,479
"63",10,473
"64",11,487
"65",11,479
"66",10,477
"67",901,679
"68",10,474
"69",10,479
"70",11,479
"71",11,473
"72",10,479
"73",11,479
"74",10,479
"75",11,473
"76",11,479
"77",11,229
"78",11,473
"79",11,479
"80",11,477
"81",10,479
"82",10,473
"83",11,453
"84",11,517
"85",11,475
"86",11,473
"87",11,473
"88",11,479
"89",11,479
"90",931,486
"91",10,488
"92",11,473
"93",10,475
"94",10,475
"95",10,473
"96",10,479
"97",10,473
"98",11,473
"99",60,563
"100",10,473
"101",10,479
"102",11,473
"103",10,479
"104",11,473
"105",10,479
"106",11,473
"107",11,473
"108",11,473
"109",11,479
"110",10,473
"111",10,473
"112",11,473
"113",11,473
"114",11,473
"115",11,473
"116",11,479
"117",11,479
"118",11,473
"119",11,473
"120",11,473
"121",11,473
"122",11,473
"123",10,479
"124",11,473
"125",11,479
"126",11,479
"127",11,473
"128",10,473
"129",10,479
"130",11,479
"131",11,473
"132",10,479
"133",11,479
"134",11,473
"135",11,473
"136",11,479
"137",11,473
"138",11,473
"139",11,473
"140",10,473
"141",11,479
"142",10,479
"143",21,485
"144",10,259
"145",10,473
"146",11,479
"147",110,259
"148",10,473
"149",10,473
"150",10,473
"151",10,479
"152",10,475
"153",10,473
"154",11,473
"155",10,484
"156",11,479
"157",11,473
"158",11,473
"159",11,473
"160",11,473
"161",10,479
"162",11,479
"163",10,479
"164",11,473
"165",11,473
"166",11,479
"167",10,473
"168",151,667
"169",11,473
"170",11,473
"171",11,479
"172",11,473
"173",11,479
"174",11,473
"175",11,473
"176",11,473
"177",10,479
"178",11,473
"179",10,259
"180",10,473
"181",11,473
"182",11,473
"183",11,479
"184",10,479
"185",11,479
"186",11,473
"187",11,473
"188",10,473
"189",10,484
"190",10,473
"191",21,486
"192",10,473
"193",10,479
"194",10,473
"195",10,473
"196",10,477
"197",10,479
"198",11,473
"199",10,479
"200",10,479
"201",11,889
"202",11,473
"203",10,484
"204",10,473
"205",11,473
"206",11,889
"207",11,488
"208",10,479
"209",11,473
"210",11,473
"211",11,479
"212",60,567
"213",60,637
"214",60,597
"215",10,479
"216",10,477
"217",11,473
"218",11,479
"219",11,473
"220",11,479
"221",11,473
"222",11,473
"223",770,487
"224",11,473
"225",10,473
"226",11,475
"227",11,479
"228",11,473
"229",11,473
"230",11,473
"231",11,473
"232",10,473
"233",11,479
"234",11,473
"235",10,473
"236",10,479
"237",11,473
"238",10,259
"239",11,473
"240",10,473
"241",10,473
"242",10,484
"243",10,479
"244",11,479
"245",11,473
"246",10,385
"247",11,479
"248",11,473
"249",11,479
"250",10,479
"251",11,473
"252",21,485
"253",10,473
"254",10,473
"255",11,479
"256",11,473
"257",11,473
"258",10,473
"259",11,473
"260",11,199
"261",11,473
"262",11,479
"263",10,473
"264",11,473
"265",11,473
"266",10,473
"267",10,479
"268",10,473
"269",11,473
"270",11,473
"271",11,473
"272",11,473
"273",11,479
"274",11,479
"275",10,473
"276",11,479
"277",11,473
"278",11,475
"279",11,473
"280",11,473
"281",11,473
"282",10,473
"283",10,473
"284",11,473
"285",11,473
"286",10,473
"287",10,473
"288",10,473
"289",10,479
"290",11,479
"291",10,475
"292",10,473
"293",10,473
"294",10,473
"295",10,473
"296",10,473
"297",10,473
"298",10,473
"299",10,473
"300",10,473
"301",10,473
"302",10,473
"303",11,473
"304",932,547
"305",11,888
"306",11,479
"307",10,484
"308",10,479
"309",10,473
"310",10,473
"311",10,479
"312",10,473
"313",11,473
"314",10,479
"315",10,479
"316",11,473
"317",11,479
"318",11,473
"319",10,473
"320",10,479
"321",10,473
"322",10,473
"323",10,473
"324",11,473
"325",10,479
"326",11,473
"327",10,473
"328",10,473
"329",10,473
"330",10,479
"331",10,473
"332",11,473
"333",11,479
"334",10,473
"335",11,479
"336",10,473
"337",10,473
"338",11,473
"339",11,473
"340",10,479
"341",10,473
"342",11,473
"343",10,473
"344",11,473
"345",11,479
"346",11,473
"347",11,473
"348",11,473
"349",11,473
"350",10,473
"351",10,473
"352",11,473
"353",10,473
"354",11,473
"355",11,473
"356",10,473
"357",10,473
"358",11,479
"359",11,473
"360",11,473
"361",11,479
"362",11,473
"363",11,473
"364",10,473
"365",11,479
"366",11,473
"367",10,473
"368",11,473
"369",10,473
"370",10,473
"371",10,473
"372",10,479
"373",11,479
"374",11,473
"375",21,485
"376",10,473
"377",10,473
"378",10,479
"379",11,479
"380",11,473
"381",10,473
"382",11,473
"383",11,473
"384",10,473
"385",10,473
"386",10,479
"387",10,479
"388",10,473
"389",10,473
"390",10,473
"391",10,473
"392",10,473
"393",10,473
"394",11,473
"395",10,479
"396",10,479
"397",11,473
"398",10,473
"399",10,473
"400",11,479
"401",10,473
"402",10,479
"403",10,479
"404",11,473
"405",11,473
"406",11,473
"407",11,473
"408",11,473
"409",11,479
"410",10,479
