"","imputed_IND","imputed_OCC"
"1","842","157"
"2","841","178"
"3","841","313"
"4","841","313"
"5","331","796"
"6","842","387"
"7","842","164"
"8","711","194"
"9","850","164"
"10","411","633"
"11","40","313"
"12","160","849"
"13","831","105"
"14","601","883"
"15","901","453"
"16","312","783"
"17","151","744"
"18","241","733"
"19","60","598"
"20","612","514"
"21","241","733"
"22","612","514"
"23","241","704"
"24","530","243"
"25","60","593"
"26","871","174"
"27","850","14"
"28","850","313"
"29","221","337"
"30","60","597"
"31","221","745"
"32","21","486"
"33","842","329"
"34","241","19"
"35","221","745"
"36","682","389"
"37","300","785"
"38","221","769"
"39","60","33"
"40","910","418"
"41","910","417"
"42","711","315"
"43","550","259"
"44","550","259"
"45","550","259"
"46","842","443"
"47","400","823"
"48","641","435"
"49","672","274"
"50","601","877"
"51","601","243"
"52","630","243"
"53","641","444"
"54","820","85"
"55","831","449"
"56","142","749"
"57","761","406"
"58","761","406"
"59","142","756"
"60","102","796"
"61","212","745"
"62","142","633"
"63","142","738"
"64","761","406"
"65","142","738"
"66","221","745"
"67","142","883"
"68","761","407"
"69","641","434"
"70","641","434"
"71","711","339"
"72","530","507"
"73","752","19"
"74","580","518"
"75","550","799"
"76","850","128"
"77","591","264"
"78","160","856"
"79","832","444"
"80","641","436"
"81","60","804"
"82","512","339"
"83","712","254"
"84","420","58"
"85","592","276"
"86","400","276"
"87","712","19"
"88","21","475"
"89","410","19"
"90","772","458"
"91","591","243"
"92","221","19"
"93","172","184"
"94","711","19"
"95","632","337"
"96","620","263"
"97","601","276"
"98","320","724"
"99","60","844"
"100","682","274"
"101","842","157"
"102","10","479"
"103","772","458"
"104","142","796"
"105","142","738"
"106","142","887"
"107","612","243"
"108","850","313"
"109","761","406"
"110","60","804"
"111","142","738"
"112","410","804"
"113","850","453"
"114","241","799"
"115","60","855"
"116","831","447"
"117","842","156"
"118","251","804"
"119","221","745"
"120","142","518"
"121","770","468"
"122","761","406"
"123","211","224"
"124","221","454"
"125","221","745"
"126","612","505"
"127","632","243"
"128","632","243"
"129","762","19"
"130","21","486"
"131","460","386"
"132","812","84"
"133","831","95"
"134","832","447"
"135","601","804"
