,OCC 1972-1982,OCC 1983-1991,OCC 1992-Aug1995,OCC Sept1995-2002,OCC 2003-2010,OCC 2011-2019,OCC 2020+
1,222,4,4,4,10,10,10
2,472,19,22,22,10,10,10
3,212,19,22,22,10,10,10
4,220,5,5,5,10,10,10
5,240,19,21,21,10,10,10
6,223,19,22,22,10,10,10
7,212,5,5,5,10,10,10
8,13,19,22,22,10,10,10
9,223,19,21,21,10,10,10
10,205,19,22,22,10,10,10
11,201,5,5,5,10,10,10
12,230,19,22,22,10,10,10
13,101,19,21,21,10,10,10
14,212,19,21,21,10,10,10
15,222,5,5,5,10,10,10
16,224,17,16,22,10,10,10
17,222,3,3,22,10,10,10
18,220,19,22,22,10,10,10
19,385,19,21,21,10,10,10
20,235,19,21,21,10,10,10
21,385,19,22,22,10,10,10
22,13,19,21,21,10,10,10
23,265,19,22,22,10,10,10
24,195,19,21,21,10,10,10
25,245,19,22,22,10,10,10
26,235,19,22,22,10,10,10
27,441,19,21,21,10,10,10
28,240,19,22,22,10,10,10
29,240,14,14,14,10,10,10
30,441,19,22,22,10,10,10
31,202,19,21,21,10,10,10
32,101,19,22,22,10,10,10
33,220,19,21,21,10,10,10
34,212,14,14,14,10,10,10
35,230,19,21,21,10,10,10
36,372,19,21,21,10,10,10
37,205,19,21,21,10,10,10
38,184,19,22,22,10,10,10
39,370,19,22,22,10,10,10
40,184,19,21,21,10,10,10
41,370,19,21,21,10,10,10
42,195,19,22,22,10,10,10
43,245,19,21,21,10,10,10
44,472,19,21,21,10,10,10
45,202,19,22,22,10,10,10
46,372,19,22,22,10,10,10
47,245,5,5,5,10,10,10
48,265,19,21,21,10,10,10
49,56,5,5,5,10,10,10
50,235,14,14,14,10,10,10
51,240,19,17,17,20,20,20
52,472,19,22,22,20,20,20
53,13,19,17,17,20,20,20
54,56,5,5,5,20,20,20
55,240,19,22,22,20,20,20
56,385,19,17,17,20,20,20
57,212,19,17,17,20,20,20
58,184,19,22,22,20,20,20
59,205,19,22,22,20,20,20
60,372,19,17,17,20,20,20
61,472,19,17,17,20,20,20
62,184,19,21,21,20,20,20
63,224,17,16,22,20,20,20
64,385,19,22,22,20,20,20
65,184,19,17,17,20,20,20
66,223,19,22,22,20,20,20
67,245,19,17,17,20,20,20
68,220,19,22,22,20,20,20
69,372,19,21,21,20,20,20
70,201,5,5,5,20,20,20
71,195,19,22,22,20,20,20
72,372,19,22,22,20,20,20
73,370,19,21,21,20,20,20
74,101,19,21,21,20,20,20
75,385,19,21,21,20,20,20
76,441,19,22,22,20,20,20
77,13,19,21,21,20,20,20
78,240,19,21,21,20,20,20
79,212,5,5,5,20,20,20
80,220,19,17,17,20,20,20
81,472,19,21,21,20,20,20
82,202,19,22,22,20,20,20
83,222,5,5,5,20,20,20
84,230,19,22,22,20,20,20
85,212,19,21,21,20,20,20
86,101,19,17,17,20,20,20
87,441,19,17,17,20,20,20
88,235,19,21,21,20,20,20
89,212,19,22,22,20,20,20
90,202,19,21,21,20,20,20
91,223,19,17,17,20,20,20
92,245,5,5,5,20,20,20
93,230,19,21,21,20,20,20
94,220,19,21,21,20,20,20
95,235,19,17,17,20,20,20
96,220,5,5,5,20,20,20
97,245,19,21,21,20,20,20
98,245,19,22,22,20,20,20
99,441,19,21,21,20,20,20
100,265,19,17,17,20,20,20
101,195,19,17,17,20,20,20
102,265,19,21,21,20,20,20
103,223,19,21,21,20,20,20
104,195,19,21,21,20,20,20
105,265,19,22,22,20,20,20
106,13,19,22,22,20,20,20
107,205,19,17,17,20,20,20
108,370,19,22,22,20,20,20
109,230,19,17,17,20,20,20
110,101,19,22,22,20,20,20
111,370,19,17,17,20,20,20
112,222,3,3,22,20,20,20
113,202,19,17,17,20,20,20
114,235,19,22,22,20,20,20
115,205,19,21,21,20,20,20
116,101,19,22,22,30,30,30
117,195,19,22,22,30,30,30
118,245,19,22,22,30,30,30
119,372,19,22,22,30,30,30
120,240,19,22,22,30,30,30
121,205,19,22,22,30,30,30
122,222,3,3,22,30,30,30
123,441,19,22,22,30,30,30
124,230,19,22,22,30,30,30
125,235,19,22,22,30,30,30
126,212,19,22,22,30,30,30
127,472,19,22,22,30,30,30
128,202,19,22,22,30,30,30
129,224,17,16,22,30,30,30
130,13,19,22,22,30,30,30
131,223,19,22,22,30,30,30
132,265,19,22,22,30,30,30
133,385,19,22,22,30,30,30
134,220,19,22,22,30,30,30
135,370,19,22,22,30,30,30
136,184,19,22,22,30,30,30
137,184,197,197,197,40,40,40
138,231,13,13,13,40,40,40
139,245,13,13,13,40,40,40
140,233,13,13,13,40,40,40
141,270,13,13,13,40,40,40
142,265,13,13,13,40,40,40
143,192,197,197,197,40,40,40
144,220,13,13,13,40,40,40
145,472,19,21,21,50,50,51
146,472,19,21,21,50,50,52
147,184,19,22,22,50,50,51
148,184,19,22,22,50,50,52
149,195,19,21,21,50,50,51
150,195,19,21,21,50,50,52
151,235,19,22,22,50,50,51
152,235,19,22,22,50,50,52
153,101,19,22,22,50,50,51
154,101,19,22,22,50,50,52
155,212,19,22,22,50,50,51
156,212,19,22,22,50,50,52
157,233,13,13,13,50,50,51
158,233,13,13,13,50,50,52
159,385,19,22,22,50,50,51
160,385,19,22,22,50,50,52
161,265,13,13,13,50,50,51
162,265,13,13,13,50,50,52
163,372,19,21,21,50,50,51
164,372,19,21,21,50,50,52
165,370,19,22,22,50,50,51
166,370,19,22,22,50,50,52
167,372,19,22,22,50,50,51
168,372,19,22,22,50,50,52
169,220,19,21,21,50,50,51
170,220,19,21,21,50,50,52
171,223,19,21,21,50,50,51
172,223,19,21,21,50,50,52
173,195,19,22,22,50,50,51
174,195,19,22,22,50,50,52
175,184,19,21,21,50,50,51
176,184,19,21,21,50,50,52
177,101,19,21,21,50,50,51
178,101,19,21,21,50,50,52
179,220,13,13,13,50,50,51
180,220,13,13,13,50,50,52
181,370,19,21,21,50,50,51
182,370,19,21,21,50,50,52
183,240,19,21,21,50,50,51
184,240,19,21,21,50,50,52
