"","ind_70_final","ind_80","occ_70_final","occ_80"
"60554",587,561,282,259
"42836",339,172,690,754
"22707",197,331,152,217
"42122",339,172,323,363
"117280",877,880,185,186
"69239",639,612,305,337
"59019",539,530,282,259
"85610",717,711,265,253
"113881",858,850,162,225
"109683",857,842,382,387
"68174",628,601,762,877
"91221",758,752,482,526
"73682",667,632,372,313
"115297",867,860,321,376
"3503",17,10,822,479
"4501",27,30,25,417
"103090",838,831,916,433
"39578",319,151,481,518
"104155",838,831,150,223
"117136",877,880,912,436
"102175",838,831,372,313
"55863",647,620,762,877
"43409",339,172,245,19
"3692",17,10,823,479
"45774",379,211,610,689
"40955",337,162,183,185
"61536",607,580,284,268
"40270",328,160,360,338
"51600",427,421,390,303
"94592",777,762,191,189
"23182",197,331,680,783
"78869",677,642,64,96
"114192",858,850,912,436
"38303",319,151,663,744
"94362",669,641,910,434
"98563",809,802,180,199
"84241",717,711,391,315
"123406",917,901,222,5
"108750",857,842,903,453
"124103",927,922,360,338
"62418",609,591,452,796
"74532",669,641,915,435
"38263",319,151,233,13
"28283",219,351,644,759
"74641",669,641,910,434
"1945",17,10,822,479
"65316",619,671,312,303
"105484",848,840,75,95
"107065",857,842,144,157
"9283",69,60,285,257
"88020",728,722,903,453
"59612",558,552,220,19
"82816",707,700,202,7
"50653",417,410,245,243
"53802",448,441,762,889
"85883",717,711,372,313
"3810",17,10,801,473
"101411",838,831,75,95
"93009",769,761,980,406
"10877",69,60,534,595
"18284",149,280,23,59
"9664",69,60,305,337
"65705",627,600,345,385
"75196",669,641,915,435
"14068",108,231,750,865
"79386",678,650,283,274
"103819",838,831,913,444
"77156",669,641,950,433
"47438",407,400,375,386
"111396",857,842,142,156
"56383",509,542,245,243
"72024",649,590,305,337
"15846",127,251,151,224
"70145",639,612,245,243
"10510",69,60,285,257
"59594",558,552,245,243
"110793",857,842,32,164
"92172",769,761,984,407
"89507",889,890,313,378
"6916",67,60,415,567
"22452",189,322,12,55
"76635",669,641,915,435
"71856",648,621,623,885
"78210",669,641,915,435
"37491",317,142,690,754
"108906",857,842,144,157
"126407",937,901,415,567
"101741",838,831,212,15
"97565",807,800,310,276
"6318",67,60,415,567
"32200",258,292,610,796
"46819",389,221,664,745
"18404",149,280,764,887
"31610",247,372,372,313
"30653",228,360,751,865
"101661",838,831,902,449
"110068",857,842,903,453
"51459",427,421,245,19
"33661",268,100,624,799
"13360",77,60,436,853
"52529",448,441,385,348
"57799",528,551,395,379
"61561",607,580,445,589
"70891",648,621,245,243
"98210",887,881,372,313
"53594",448,441,391,303
"121938",917,932,376,314
"45889",379,211,23,59
"48215",407,400,455,824
"8912",68,60,715,804
"43908",348,180,495,549
"46072",387,212,152,217
"55159",469,461,715,804
"90748",757,751,472,514
"90809",757,751,473,507
"48836",408,401,703,808
"13800",108,231,715,804
"13620",107,230,715,804
"23354",158,282,680,783
"51769",427,421,381,365
"107525",857,842,142,156
"11439",69,60,245,19
"110233",857,842,144,157
"81512",707,700,301,383
"72080",649,622,284,263
"17661",147,271,424,849
"30100",227,352,430,575
"126217",937,910,903,453
"104713",839,832,925,447
"1913",17,11,801,473
"51995",429,432,760,876
"46485",388,220,281,259
"41480",338,171,364,319
"95102",779,771,611,747
"124784",878,871,391,315
"60297",587,532,374,364
"34936",287,111,643,888
"36369",307,132,481,518
"16611",139,270,325,335
"46088",387,212,692,777
"48139",407,400,455,824
"77182",669,641,915,435
"35645",297,121,643,888
"51347",427,421,163,226
"1739",17,11,801,473
"91841",769,761,984,407
"41350",338,171,245,19
"119752",917,932,12,55
"71100",648,621,623,885
"72863",657,630,613,633
"28050",219,351,651,709
"14639",118,242,502,544
"26703",208,342,694,785
"89223",747,741,715,426
"60999",607,580,245,19
"36535",308,140,672,738
"84248",339,172,181,183
"123415",917,932,961,6
"40454",328,160,233,13
"72249",657,630,613,666
"73574",667,632,284,266
"108785",857,842,142,156
"20006",137,261,622,766
"60916",588,571,282,259
"46462",388,220,14,57
"6873",68,60,751,869
"5593",57,50,715,804
"33720",268,100,633,686
"64030",609,591,283,267
"41230",338,171,422,736
"34777",279,110,715,804
"22722",197,331,653,704
"48593",408,401,704,824
"62533",609,591,613,667
"61889",608,581,283,268
"82856",707,700,301,383
"98472",809,802,245,19
"11820",69,60,415,554
"124763",927,921,325,335
"75053",669,641,915,435
"16854",139,270,690,768
"97012",788,780,935,457
"1123",17,11,801,473
