Index,IND.1971.1982,IND.1983.1991,IND.1992.2002,IND.2003.2008,IND.2009.2013,IND.2014.2019,IND.2020.
1,278,121,121,170,170,170,170
2,679,561,561,170,170,170,170
3,297,121,121,170,170,170,170
4,587,561,561,170,170,170,170
5,17,10,10,170,170,170,170
6,27,30,31,170,170,170,170
7,28,11,11,180,180,180,180
8,17,11,11,180,180,180,180
9,18,20,30,180,180,180,180
10,18,31,32,180,180,180,180
11,28,31,32,180,180,180,180
12,18,11,11,180,180,180,180
13,27,30,31,190,190,190,190
14,107,230,230,270,270,270,270
15,18,31,32,280,280,280,280
16,28,31,32,280,280,280,280
17,798,742,741,290,290,290,290
18,278,102,102,290,290,290,290
19,738,742,741,290,290,290,290
20,18,20,30,290,290,290,290
21,748,742,741,290,290,290,290
22,759,760,760,290,290,290,290
23,897,742,741,290,290,290,290
24,17,10,10,290,290,290,290
25,27,30,31,290,290,290,290
26,347,192,192,370,370,370,370
27,49,42,42,370,370,370,370
28,49,192,192,370,370,370,370
29,369,192,192,370,370,370,370
30,359,192,192,370,370,370,370
31,348,192,192,370,370,370,370
32,368,192,192,370,370,370,370
33,48,41,41,380,380,380,380
34,47,40,40,390,390,390,390
35,57,50,50,470,470,470,470
36,47,40,40,470,470,470,470
37,NA,NA,NA,480,480,480,480
38,738,742,741,490,490,490,490
39,798,742,741,490,490,490,490
40,47,40,40,490,490,490,490
41,897,742,741,490,490,490,490
42,49,42,42,490,490,490,490
43,748,742,741,490,490,490,490
44,467,460,450,570,570,570,570
45,469,461,451,580,580,580,580
46,469,461,451,590,590,590,590
47,468,462,452,590,590,590,590
48,478,471,471,670,670,670,670
49,477,470,470,670,670,670,670
50,469,461,451,670,670,670,670
51,479,470,470,670,670,670,670
52,479,470,470,680,680,680,680
53,477,470,470,680,680,680,680
54,478,471,471,680,680,680,680
55,467,460,450,690,690,690,690
56,479,472,472,690,690,690,690
57,718,712,712,770,770,770,770
58,449,442,440,770,770,770,770
59,897,742,741,770,770,770,770
60,77,60,60,770,770,770,770
61,759,760,760,770,770,770,770
62,68,60,60,770,770,770,770
63,69,60,60,770,770,770,770
64,607,521,521,770,770,770,770
65,798,742,741,770,770,770,770
66,738,742,741,770,770,770,770
67,448,441,441,770,770,770,770
68,537,521,521,770,770,770,770
69,67,60,60,770,770,770,770
70,447,440,440,770,770,770,770
71,607,580,580,770,770,770,770
72,748,742,741,770,770,770,770
73,587,561,561,1070,1070,1070,1070
74,259,391,391,1070,1070,1070,1070
75,679,561,561,1070,1070,1070,1070
76,279,110,110,1070,1070,1070,1070
77,278,121,121,1070,1070,1070,1070
78,297,121,121,1070,1070,1070,1070
79,297,112,112,1080,1080,1080,1080
80,288,112,112,1080,1080,1080,1080
81,297,121,121,1090,1090,1090,1090
82,268,100,100,1090,1090,1090,1090
83,278,121,121,1090,1090,1090,1090
84,278,102,102,1090,1090,1090,1090
85,278,121,121,1170,1170,1170,1170
86,297,121,121,1170,1170,1170,1170
87,268,100,100,1170,1170,1170,1170
